Incident Matrix
   |   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34
---|----------------------------------------------------------------------------------------------------------------------------------------
  1|  -1   1  -1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  2|   0   0   0   0  -1   1  -1   1  -1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  3|   1  -1   0   0   1  -1   0   0   0   0   2  -1   1  -1   1  -1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  4|   0   0   1  -1   0   0   0   0   0   0   0   0   0   0   0   0   0  -1   1  -1   1  -1   1   0   0   0   0   0   0   0   0   0   0   0
  5|   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1  -1   0   0   0   0  -1   1  -1   1   0   0   0   0   0   0   0
  6|   0   0   0   0   0   0   0   0   0   0   0   1  -1   0   0   0   0   0   0   1  -1   0   0   1  -1   0   0   0   0   0   0   0   0   0
  7|   0   0   0   0   0   0   0   0   0   0   0   0   0   1  -1   0   0   0   0   0   0   0   0   0   0   1  -1  -1   1  -1   1   0   0   0
  8|   0   0   0   0   0   0   1  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1  -1   0   0   2   0   0
  9|   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1  -1   0   0   0   0   1  -1   0   0   0   0   0   0   1  -1   0  -1   1
 10|   0   0   0   0   0   0   0   0   1  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1  -1


Adjacency Matrix
   |   1   2   3   4   5   6   7   8   9  10
---|----------------------------------------
  1|   0   0   1   1   0   0   0   0   0   0
  2|   0   0   1   0   0   0   0   1   0   1
  3|   1   1   1   0   0   1   1   0   1   0
  4|   1   0   0   0   1   1   0   0   1   0
  5|   0   0   0   1   0   1   1   0   0   0
  6|   0   0   1   1   1   0   0   0   0   0
  7|   0   0   1   0   1   0   0   1   1   0
  8|   0   1   0   0   0   0   1   1   0   0
  9|   0   0   1   1   0   0   1   0   0   1
 10|   0   1   0   0   0   0   0   0   1   0


Граф неоднорідний!
---|---
  1|  4
  2|  6
  3| 12
  4|  8
  5|  6
  6|  6
  7|  8
  8|  6
  9|  8
 10|  4


Напівстепені входу
---|---
  1|  2
  2|  3
  3|  6
  4|  4
  5|  3
  6|  3
  7|  4
  8|  3
  9|  4
 10|  2


Напівстепені виходу
---|---
  1|  2
  2|  3
  3|  6
  4|  4
  5|  3
  6|  3
  7|  4
  8|  3
  9|  4
 10|  2

Ізольовані вершини: Не існує

Висячі вершини: Не існує
