 1| Вершина |  BFS-номер |           Вміст черги        |
--|---------|------------|------------------------------|
  |     1   |        1   | 1  
  |     3   |        2   | 1 3  
  |     4   |        3   | 1 3 4  
  |  ----   |     ----   | 3 4  
  |     2   |        4   | 3 4 2  
  |     6   |        5   | 3 4 2 6  
  |     7   |        6   | 3 4 2 6 7  
  |     9   |        7   | 3 4 2 6 7 9  
  |  ----   |     ----   | 4 2 6 7 9  
  |     5   |        8   | 4 2 6 7 9 5  
  |  ----   |     ----   | 2 6 7 9 5  
  |     8   |        9   | 2 6 7 9 5 8  
  |    10   |       10   | 2 6 7 9 5 8 10  
  |  ----   |     ----   | 6 7 9 5 8 10  
  |  ----   |     ----   | 7 9 5 8 10  
  |  ----   |     ----   | 9 5 8 10  
  |  ----   |     ----   | 5 8 10  
  |  ----   |     ----   | 8 10  
  |  ----   |     ----   | 10  

 1| Вершина |  DFS-номер |           Вміст стеку        |
--|---------|------------|------------------------------|
  |     1   |        1   |  1  
  |     3   |        2   |  1 3  
  |     2   |        3   |  1 3 2  
  |     8   |        4   |  1 3 2 8  
  |     7   |        5   |  1 3 2 8 7  
  |     5   |        6   |  1 3 2 8 7 5  
  |     4   |        7   |  1 3 2 8 7 5 4  
  |     6   |        8   |  1 3 2 8 7 5 4 6  
  |  ----   |     ----   |  1 3 2 8 7 5 4  
  |     9   |        9   |  1 3 2 8 7 5 4 9  
  |    10   |       10   |  1 3 2 8 7 5 4 9 10  
  |  ----   |     ----   |  1 3 2 8 7 5 4 9  
  |  ----   |     ----   |  1 3 2 8 7 5 4  
  |  ----   |     ----   |  1 3 2 8 7 5  
  |  ----   |     ----   |  1 3 2 8 7  
  |  ----   |     ----   |  1 3 2 8  
  |  ----   |     ----   |  1 3 2  
  |  ----   |     ----   |  1 3  
  |  ----   |     ----   |  1  



 3| Вершина |  BFS-номер |           Вміст черги        |
--|---------|------------|------------------------------|
  |     3   |        1   | 3  
  |     1   |        2   | 3 1  
  |     2   |        3   | 3 1 2  
  |     6   |        4   | 3 1 2 6  
  |     7   |        5   | 3 1 2 6 7  
  |     9   |        6   | 3 1 2 6 7 9  
  |  ----   |     ----   | 1 2 6 7 9  
  |     4   |        7   | 1 2 6 7 9 4  
  |  ----   |     ----   | 2 6 7 9 4  
  |     8   |        8   | 2 6 7 9 4 8  
  |    10   |        9   | 2 6 7 9 4 8 10  
  |  ----   |     ----   | 6 7 9 4 8 10  
  |     5   |       10   | 6 7 9 4 8 10 5  
  |  ----   |     ----   | 7 9 4 8 10 5  
  |  ----   |     ----   | 9 4 8 10 5  
  |  ----   |     ----   | 4 8 10 5  
  |  ----   |     ----   | 8 10 5  
  |  ----   |     ----   | 10 5  
  |  ----   |     ----   | 5  

 3| Вершина |  DFS-номер |           Вміст стеку        |
--|---------|------------|------------------------------|
  |     3   |        1   |  3  
  |     1   |        2   |  3 1  
  |     4   |        3   |  3 1 4  
  |     5   |        4   |  3 1 4 5  
  |     6   |        5   |  3 1 4 5 6  
  |  ----   |     ----   |  3 1 4 5  
  |     7   |        6   |  3 1 4 5 7  
  |     8   |        7   |  3 1 4 5 7 8  
  |     2   |        8   |  3 1 4 5 7 8 2  
  |    10   |        9   |  3 1 4 5 7 8 2 10  
  |     9   |       10   |  3 1 4 5 7 8 2 10 9  
  |  ----   |     ----   |  3 1 4 5 7 8 2 10  
  |  ----   |     ----   |  3 1 4 5 7 8 2  
  |  ----   |     ----   |  3 1 4 5 7 8  
  |  ----   |     ----   |  3 1 4 5 7  
  |  ----   |     ----   |  3 1 4 5  
  |  ----   |     ----   |  3 1 4  
  |  ----   |     ----   |  3 1  
  |  ----   |     ----   |  3  




 7| Вершина |  BFS-номер |           Вміст черги        |
--|---------|------------|------------------------------|
  |     7   |        1   | 7  
  |     3   |        2   | 7 3  
  |     5   |        3   | 7 3 5  
  |     8   |        4   | 7 3 5 8  
  |     9   |        5   | 7 3 5 8 9  
  |  ----   |     ----   | 3 5 8 9  
  |     1   |        6   | 3 5 8 9 1  
  |     2   |        7   | 3 5 8 9 1 2  
  |     6   |        8   | 3 5 8 9 1 2 6  
  |  ----   |     ----   | 5 8 9 1 2 6  
  |     4   |        9   | 5 8 9 1 2 6 4  
  |  ----   |     ----   | 8 9 1 2 6 4  
  |  ----   |     ----   | 9 1 2 6 4  
  |    10   |       10   | 9 1 2 6 4 10  
  |  ----   |     ----   | 1 2 6 4 10  
  |  ----   |     ----   | 2 6 4 10  
  |  ----   |     ----   | 6 4 10  
  |  ----   |     ----   | 4 10  
  |  ----   |     ----   | 10  

 7| Вершина |  DFS-номер |           Вміст стеку        |
--|---------|------------|------------------------------|
  |     7   |        1   |  7  
  |     3   |        2   |  7 3  
  |     1   |        3   |  7 3 1  
  |     4   |        4   |  7 3 1 4  
  |     5   |        5   |  7 3 1 4 5  
  |     6   |        6   |  7 3 1 4 5 6  
  |  ----   |     ----   |  7 3 1 4 5  
  |  ----   |     ----   |  7 3 1 4  
  |     9   |        7   |  7 3 1 4 9  
  |    10   |        8   |  7 3 1 4 9 10  
  |     2   |        9   |  7 3 1 4 9 10 2  
  |     8   |       10   |  7 3 1 4 9 10 2 8  
  |  ----   |     ----   |  7 3 1 4 9 10 2  
  |  ----   |     ----   |  7 3 1 4 9 10  
  |  ----   |     ----   |  7 3 1 4 9  
  |  ----   |     ----   |  7 3 1 4  
  |  ----   |     ----   |  7 3 1  
  |  ----   |     ----   |  7 3  
  |  ----   |     ----   |  7  

